file_path,page_url,canonical_url,meta_robots,h1,title,meta_description,in_sitemap,sitemap_url,has_visible_updated_date,has_json_ld,schema_types,detected_page_type,target_status_suggestion,notes
404.html,https://guide.youreco.com.ua/404.html,https://guide.youreco.com.ua/404.html,"noindex, follow",Сторінку не знайдено,Сторінку не знайдено | YOURECO Довідник,"Сторінку не знайдено. Перейдіть на головну сторінку YOURECO Довідника або оберіть основний розділ про утилізацію, переробку, сортування, логістику чи документи.",NO,,NO,NO,,error,keep_noindex,missing updated date
akt-pryimannya-peredachi.html,https://guide.youreco.com.ua/akt-pryimannya-peredachi.html,https://guide.youreco.com.ua/akt-pryimannya-peredachi.html,"index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",Акт приймання-передачі відходів: що це за документ і коли він потрібен,Акт приймання-передачі відходів | YOURECO,"Акт приймання-передачі відходів: що містить документ, у яких випадках його оформлюють і які реквізити варто перевірити перед передачею партії.",YES,https://guide.youreco.com.ua/akt-pryimannya-peredachi.html,NO,YES,Article,article,review_index,missing updated date
akt-utylizaciyi.html,https://guide.youreco.com.ua/akt-utylizaciyi.html,https://guide.youreco.com.ua/akt-utylizaciyi.html,"index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",Акт утилізації відходів: що підтверджує цей документ,Акт утилізації відходів | YOURECO,"Акт утилізації відходів: що підтверджує документ, коли його оформлюють і як він фіксує завершення утилізації, переробки чи знищення.",YES,https://guide.youreco.com.ua/akt-utylizaciyi.html,NO,YES,Article,article,review_index,missing updated date
articles/index.html,https://guide.youreco.com.ua/,https://guide.youreco.com.ua/,"noindex, follow",Перенаправлення до головної сторінки,Перенаправлення до головної сторінки — YOURECO,"Службова сторінка перенаправляє до головної сторінки довідника YOURECO з основними розділами про утилізацію, переробку й документи.",NO,,NO,YES,CollectionPage,hub,keep_noindex,missing updated date
chy-potribno-pererobyty-chy-utylizuvaty.html,https://guide.youreco.com.ua/chy-potribno-pererobyty-chy-utylizuvaty.html,https://guide.youreco.com.ua/chy-potribno-pererobyty-chy-utylizuvaty.html,"index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",Чи потрібно переробити чи утилізувати продукцію,Переробка чи утилізація продукції | YOURECO,"Як визначити, чи продукцію потрібно переробити або утилізувати: критерії вибору, сценарії передачі, документи та маршрут поводження з відходами.",YES,https://guide.youreco.com.ua/chy-potribno-pererobyty-chy-utylizuvaty.html,NO,YES,Article,article,review_index,missing updated date
dokumenty-dlya-utylizaciyi-vidhodiv.html,https://guide.youreco.com.ua/dokumenty-dlya-utylizaciyi-vidhodiv.html,https://guide.youreco.com.ua/dokumenty-dlya-utylizaciyi-vidhodiv.html,"noindex, follow",Документи для утилізації відходів,Документи для утилізації відходів — Довідник YOURECO,"Довідка для підприємств про «документи для утилізації відходів»: що включає, як підготувати партію, правила зберігання, логістика, документи та типові помилки.",NO,,NO,YES,Article,article,keep_noindex,missing updated date
dokumenty.html,https://guide.youreco.com.ua/dokumenty.html,https://guide.youreco.com.ua/dokumenty.html,"index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",Документи для утилізації відходів,Документи для утилізації відходів — Довідник YOURECO,"Які акти, реєстри та підтвердження потрібні підприємству для передачі, утилізації або переробки відходів.",YES,https://guide.youreco.com.ua/dokumenty.html,NO,YES,CollectionPage,hub,review_index,missing updated date
fotozvit-utylizaciyi.html,https://guide.youreco.com.ua/fotozvit-utylizaciyi.html,https://guide.youreco.com.ua/fotozvit-utylizaciyi.html,"index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",Фотозвіт утилізації: коли використовується і що підтверджує,Фотозвіт утилізації | YOURECO,"Фотозвіт утилізації: коли його додають до акта, що він підтверджує і як допомагає зафіксувати оброблення або знищення партії.",YES,https://guide.youreco.com.ua/fotozvit-utylizaciyi.html,NO,YES,Article,article,review_index,missing updated date
index.html,https://guide.youreco.com.ua,https://guide.youreco.com.ua,"index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",Довідник YOURECO про поводження з відходами для підприємств,Довідник YOURECO про відходи для підприємств,"Довідник YOURECO про відходи для підприємств України: утилізація, переробка, сортування, логістика, документи та типові ризики.",YES,https://guide.youreco.com.ua,NO,YES,Answer; CollectionPage; FAQPage; Question,hub,review_index,missing updated date
kabelni-vidhody.html,https://guide.youreco.com.ua/kabelni-vidhody.html,https://guide.youreco.com.ua/kabelni-vidhody.html,"index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1",Кабельні відходи: класифікація та зберігання,Кабельні відходи: класифікація та зберігання — Довідник YOURECO,"Кабельні відходи: класифікація, зберігання, підготовка до передачі, організація вивезення та документи для підприємств.",YES,https://guide.youreco.com.ua/kabelni-vidhody.html,NO,YES,Article,article,review_index,missing updated date
