category,path,words,h1,title,canonical,refresh,recommendation,reason
3. службові сторінки,404.html,64,Сторінку не знайдено,Сторінку не знайдено | YOURECO Довідник,404.html,,Залишити noindex.,"Технічна, навігаційна або контактна сторінка."
3. службові сторінки,articles/index.html,196,Перенаправлення до головної сторінки,Перенаправлення до головної сторінки — YOURECO,https://guide.youreco.com.ua/,0; url=/,Залишити noindex.,"Технічна, навігаційна або контактна сторінка."
4. об’єднати або залишити noindex,dokumenty-dlya-utylizaciyi-vidhodiv.html,485,Документи для утилізації відходів,Службова сторінка: документи для утилізації відходів | YOURECO,dokumenty-dlya-utylizaciyi-vidhodiv.html,,Не відкривати масово. Об’єднати з хабом/сильнішою сторінкою або розширити до повноцінного матеріалу перед index.,"Self-canonical, але тонкий/середній обсяг або високий ризик перетину intent із наявними хабами."
3. службові сторінки,kontakty.html,356,Контакти довідник YOURECO,Контакти — Довідник YOURECO,kontakty.html,,Залишити noindex.,"Технічна, навігаційна або контактна сторінка."
2. дублікати/alias,kudy-zdaty-avtoshyn.html,129,Куди здати автошини,Куди здати автошини — Довідник YOURECO,utylizaciya-avtoshyn.html,0; url=/utylizaciya-avtoshyn.html,"Залишити noindex; бажано 301 на canonical, якщо URL не потрібен як HTML-прокладка.",Alias/старий slug/коротка сторінка під варіант запиту з canonical на основний матеріал.
2. дублікати/alias,kudy-zdaty-budivelnyh-vidhodiv.html,140,Куди здати будівельні відходи,Куди здати будівельні відходи — Довідник YOURECO,utylizaciya-budivelnyh-vidhodiv.html,0; url=/utylizaciya-budivelnyh-vidhodiv.html,"Залишити noindex; бажано 301 на canonical, якщо URL не потрібен як HTML-прокладка.",Alias/старий slug/коротка сторінка під варіант запиту з canonical на основний матеріал.
2. дублікати/alias,kudy-zdaty-derevyny-z-budivnyctva.html,138,Куди здати деревину з будівництва,Куди здати деревину з будівництва — Довідник YOURECO,utylizaciya-derevyny-z-budivnyctva.html,0; url=/utylizaciya-derevyny-z-budivnyctva.html,"Залишити noindex; бажано 301 на canonical, якщо URL не потрібен як HTML-прокладка.",Alias/старий slug/коротка сторінка під варіант запиту з canonical на основний матеріал.
2. дублікати/alias,kudy-zdaty-dokumentiv.html,136,Куди здати документи,Куди здати документи — Довідник YOURECO,utylizaciya-dokumentiv.html,0; url=/utylizaciya-dokumentiv.html,"Залишити noindex; бажано 301 на canonical, якщо URL не потрібен як HTML-прокладка.",Alias/старий slug/коротка сторінка під варіант запиту з canonical на основний матеріал.
2. дублікати/alias,kudy-zdaty-energetychnyh-napoyiv.html,145,Куди здати енергетичні напої,Куди здати енергетичні напої — Довідник YOURECO,utylizaciya-energetychnyh-napoyiv.html,0; url=/utylizaciya-energetychnyh-napoyiv.html,"Залишити noindex; бажано 301 на canonical, якщо URL не потрібен як HTML-прокладка.",Alias/старий slug/коротка сторінка під варіант запиту з canonical на основний матеріал.
2. дублікати/alias,kudy-zdaty-fruktiv-ta-ovochiv.html,142,Куди здати фрукти та овочі,Куди здати фрукти та овочі — Довідник YOURECO,utylizaciya-fruktiv-ta-ovochiv.html,0; url=/utylizaciya-fruktiv-ta-ovochiv.html,"Залишити noindex; бажано 301 на canonical, якщо URL не потрібен як HTML-прокладка.",Alias/старий slug/коротка сторінка під варіант запиту з canonical на основний матеріал.
2. дублікати/alias,kudy-zdaty-fruktiv.html,135,Куди здати фрукти,Куди здати фрукти — Довідник YOURECO,utylizaciya-fruktiv.html,0; url=/utylizaciya-fruktiv.html,"Залишити noindex; бажано 301 на canonical, якщо URL не потрібен як HTML-прокладка.",Alias/старий slug/коротка сторінка під варіант запиту з canonical на основний матеріал.
2. дублікати/alias,kudy-zdaty-gazovanyh-napoyiv.html,137,Куди здати газовані напої,Куди здати газовані напої — Довідник YOURECO,utylizaciya-gazovanyh-napoyiv.html,0; url=/utylizaciya-gazovanyh-napoyiv.html,"Залишити noindex; бажано 301 на canonical, якщо URL не потрібен як HTML-прокладка.",Alias/старий slug/коротка сторінка під варіант запиту з canonical на основний матеріал.
2. дублікати/alias,kudy-zdaty-gipsokartonu.html,139,Перенаправлення...,Перенаправлення... — Довідник YOURECO,utylizaciya-gipsokartonu.html,0; url=/utylizaciya-gipsokartonu.html,"Залишити noindex; бажано 301 на canonical, якщо URL не потрібен як HTML-прокладка.",Alias/старий slug/коротка сторінка під варіант запиту з canonical на основний матеріал.
2. дублікати/alias,kudy-zdaty-harchovyh-produktiv.html,148,Куди здати харчові продукти,Куди здати харчові продукти — Довідник YOURECO,utylizaciya-harchovyh-produktiv.html,0; url=/utylizaciya-harchovyh-produktiv.html,"Залишити noindex; бажано 301 на canonical, якщо URL не потрібен як HTML-прокладка.",Alias/старий slug/коротка сторінка під варіант запиту з canonical на основний матеріал.
2. дублікати/alias,kudy-zdaty-kabelyu-ta-drotiv.html,153,Куди здати кабель та дроти,Куди здати кабель та дроти — Довідник YOURECO,utylizaciya-kabelyu-ta-drotiv.html,0; url=/utylizaciya-kabelyu-ta-drotiv.html,"Залишити noindex; бажано 301 на canonical, якщо URL не потрібен як HTML-прокладка.",Alias/старий slug/коротка сторінка під варіант запиту з canonical на основний матеріал.
2. дублікати/alias,kudy-zdaty-kondyterskyh-vyrobiv.html,149,Куди здати кондитерські вироби,Куди здати кондитерські вироби — Довідник YOURECO,utylizaciya-kondyterskyh-vyrobiv.html,0; url=/utylizaciya-kondyterskyh-vyrobiv.html,"Залишити noindex; бажано 301 на canonical, якщо URL не потрібен як HTML-прокладка.",Alias/старий slug/коротка сторінка під варіант запиту з canonical на основний матеріал.
2. дублікати/alias,kudy-zdaty-konserviv.html,151,Куди здати консерви,Куди здати консерви — Довідник YOURECO,utylizaciya-konserviv.html,0; url=/utylizaciya-konserviv.html,"Залишити noindex; бажано 301 на canonical, якщо URL не потрібен як HTML-прокладка.",Alias/старий slug/коротка сторінка під варіант запиту з canonical на основний матеріал.
2. дублікати/alias,kudy-zdaty-kosmetiki.html,146,Перенаправлення із застарілої адреси,Редирект: косметика kosmetiki | YOURECO,utylizaciya-kosmetyky.html,0; url=/utylizaciya-kosmetyky.html,"Залишити noindex; бажано 301 на canonical, якщо URL не потрібен як HTML-прокладка.",Alias/старий slug/коротка сторінка під варіант запиту з canonical на основний матеріал.
2. дублікати/alias,kudy-zdaty-kosmetyky-magazyniv.html,153,Куди здати косметику з магазинів,Куди здати косметику з магазинів — Довідник YOURECO,utylizaciya-kosmetyky-magazyniv.html,0; url=/utylizaciya-kosmetyky-magazyniv.html,"Залишити noindex; бажано 301 на canonical, якщо URL не потрібен як HTML-прокладка.",Alias/старий slug/коротка сторінка під варіант запиту з canonical на основний матеріал.
